order_id,customer_id,order_date,channel,order_status,payment_method,shipping_cost,discount_pct,total_amount
ORD114161,CUST001148,2023-11-14,Online,Completed,Debit Card,0.0,20,992.95
ORD114608,CUST004780,2025-05-16,In-Store,Completed,Store Credit,4.99,0,1291.44
ORD108639,CUST000293,2026-04-02,Online,Completed,Gift Card,5.99,25,2179.5
ORD128043,CUST004037,2025-09-15,In-Store,Completed,Debit Card,7.99,0,506.09
ORD108148,CUST004199,2023-06-13,Online,Completed,Credit Card,7.99,0,3925.03
ORD104325,CUST001344,2021-12-23,In-Store,Completed,Credit Card,0.0,0,1946.45
ORD125855,CUST000193,2025-03-18,Mobile App,Completed,Paypal,0.0,0,1121.62
ORD112322,CUST003414,2025-05-30,In-Store,Completed,Gift Card,5.99,15,3641.71
ORD101169,CUST000007,2026-03-24,Online,Completed,Debit Card,4.99,10,647.65
ORD107085,CUST002926,2022-11-06,In-Store,Completed,Paypal,7.99,0,2469.69
ORD103766,CUST005976,2022-08-17,Mobile App,Pending,Gift Card,0.0,0,1378.0
ORD112063,CUST000464,2025-02-12,In-Store,Completed,Store Credit,0.0,0,3191.37
ORD125819,CUST004899,2024-07-15,Online,Completed,Debit Card,7.99,0,1762.2
ORD105645,CUST003681,2025-06-30,Online,Completed,Store Credit,5.99,0,420.97
ORD117260,CUST004341,2026-05-04,Mobile App,Returned,Store Credit,4.99,0,3249.74
ORD113042,CUST002247,2023-12-06,In-Store,Completed,Gift Card,4.99,0,349.82
ORD112693,CUST004087,2023-02-25,Mobile App,Completed,Store Credit,7.99,0,504.99
ORD119569,CUST003822,2024-01-06,Online,Completed,Paypal,12.99,5,1387.98
ORD102427,CUST005627,2022-11-01,Online,Completed,Credit Card,0.0,0,409.3
ORD124256,CUST000458,2025-06-12,In-Store,Pending,Credit Card,4.99,0,683.96
ORD104074,CUST002368,2023-07-25,Mobile App,Completed,Gift Card,5.99,0,3991.06
ORD117453,CUST002542,2025-05-31,Mobile App,Completed,Paypal,12.99,25,802.32
ORD116756,CUST003448,2024-10-02,In-Store,Completed,Credit Card,0.0,0,1642.12
ORD106632,CUST004381,2025-01-03,Online,Completed,Gift Card,4.99,5,339.95
ORD123099,CUST004080,2024-03-12,In-Store,Completed,Paypal,12.99,20,1031.4
ORD117693,CUST005346,2025-11-22,Mobile App,Completed,Paypal,4.99,25,95.36
ORD115804,CUST003263,2025-08-06,Mobile App,Completed,Paypal,5.99,0,2012.51
ORD115451,CUST001180,2024-01-18,In-Store,Completed,Paypal,0.0,0,100.12
ORD102632,CUST000419,2021-11-14,Mobile App,Completed,Paypal,12.99,0,677.83
ORD121940,CUST004014,2026-03-30,Online,Completed,Gift Card,12.99,0,3449.53
ORD102537,CUST001136,2025-04-19,Online,Returned,Store Credit,5.99,0,1615.52
ORD124699,CUST002890,2024-11-26,In-Store,Completed,Debit Card,0.0,0,2009.18
ORD107124,CUST004597,2025-02-03,Online,Pending,Paypal,0.0,5,3274.84
ORD112966,CUST004384,2025-10-10,In-Store,Completed,Paypal,7.99,0,3387.57
ORD125200,CUST002579,2025-02-07,Online,Completed,Gift Card,12.99,0,1311.05
ORD125818,CUST000411,2025-05-23,In-Store,Completed,Credit Card,12.99,0,1606.55
ORD127209,CUST003045,2024-09-05,Mobile App,Completed,Credit Card,4.99,0,3184.11
ORD106852,CUST001520,2026-02-27,In-Store,Cancelled,Gift Card,7.99,15,1137.51
ORD116223,CUST005824,2021-04-13,Mobile App,Completed,Gift Card,12.99,0,1066.85
ORD113001,CUST000308,2022-11-27,Online,Completed,Debit Card,7.99,20,1089.66
ORD124057,CUST002883,2025-08-16,Mobile App,Completed,Store Credit,7.99,0,3879.23
ORD115540,CUST001955,2025-12-06,In-Store,Completed,Store Credit,7.99,5,2750.32
ORD101490,CUST001842,2023-09-16,In-Store,Completed,Credit Card,7.99,0,2768.25
ORD127627,CUST004690,2026-02-21,Online,Completed,Store Credit,0.0,5,1250.02
ORD115066,CUST004064,2025-08-22,In-Store,Completed,Paypal,0.0,0,703.03
ORD114410,CUST002716,2026-01-17,In-Store,Completed,Credit Card,5.99,0,349.69
ORD124109,CUST004576,2026-04-11,In-Store,Completed,Store Credit,12.99,0,790.24
ORD128083,CUST002637,2023-06-19,Online,Completed,Paypal,5.99,0,728.68
ORD124037,CUST000925,2026-06-02,Mobile App,Completed,Credit Card,4.99,0,3241.49
ORD124517,CUST004058,2023-11-19,In-Store,Completed,Gift Card,12.99,0,1303.43
ORD105680,CUST004415,2023-01-31,Mobile App,Completed,Store Credit,7.99,0,1420.43
ORD112823,CUST005424,2023-11-02,Mobile App,Completed,Debit Card,12.99,0,614.84
ORD115971,CUST005946,2024-08-30,Online,Completed,Gift Card,7.99,0,895.62
ORD101320,CUST003986,2024-01-10,In-Store,Completed,Credit Card,5.99,15,324.81
ORD113133,CUST003553,2021-10-25,Mobile App,Completed,Paypal,4.99,10,1742.14
ORD108583,CUST000681,2024-05-19,Mobile App,Completed,Store Credit,12.99,5,5880.97
ORD117612,CUST000576,2024-06-15,Online,Completed,Gift Card,7.99,15,688.05
ORD107464,CUST001689,2023-07-29,Online,Completed,Credit Card,0.0,10,3817.04
ORD115543,CUST004069,2025-10-18,Online,Completed,Debit Card,0.0,0,1044.54
ORD110917,CUST003847,2025-12-28,Online,Completed,Gift Card,0.0,0,421.65
ORD100344,CUST001960,2026-03-10,In-Store,Completed,Gift Card,7.99,0,305.99
ORD124067,CUST002159,2025-09-21,Online,Completed,Gift Card,4.99,25,662.46
ORD121540,CUST001046,2026-06-07,In-Store,Completed,Paypal,0.0,0,3701.33
ORD113342,CUST003287,2025-12-10,Mobile App,Completed,Store Credit,0.0,0,756.66
ORD102203,CUST000475,2022-12-13,Mobile App,Completed,Debit Card,0.0,15,1463.78
ORD119352,CUST000559,2026-03-08,Mobile App,Completed,Debit Card,5.99,0,3394.39
ORD106850,CUST001520,2026-03-08,Online,Completed,Paypal,0.0,0,4982.6
ORD105641,CUST002559,2026-05-07,Mobile App,Completed,Store Credit,12.99,5,66.6
ORD113772,CUST005858,2024-10-27,In-Store,Completed,Credit Card,12.99,10,1530.49
ORD112010,CUST005519,2026-01-26,In-Store,Completed,Credit Card,5.99,0,19.49
ORD107950,CUST003582,2024-01-10,Online,Completed,Debit Card,4.99,0,2019.23
ORD104831,CUST001821,2025-04-23,Mobile App,Completed,Credit Card,12.99,0,1667.71
ORD115485,CUST005417,2024-04-12,Online,Completed,Gift Card,12.99,0,642.46
ORD120100,CUST004211,2024-03-15,In-Store,Completed,Paypal,4.99,0,711.37
ORD123669,CUST001246,2026-04-05,Online,Completed,Paypal,0.0,20,1844.92
ORD111374,CUST002205,2025-10-07,In-Store,Completed,Store Credit,12.99,10,1140.67
ORD111381,CUST000121,2024-07-07,Mobile App,Completed,Store Credit,5.99,0,911.57
ORD106792,CUST001182,2022-12-23,In-Store,Returned,Paypal,7.99,0,4678.16
ORD100335,CUST003020,2024-09-08,Mobile App,Completed,Gift Card,7.99,25,1844.1
ORD125628,CUST000845,2025-05-28,In-Store,Cancelled,Paypal,4.99,0,5826.88
ORD104962,CUST005624,2024-12-25,Online,Completed,Gift Card,0.0,0,8101.99
ORD106957,CUST005749,2022-01-21,Mobile App,Returned,Debit Card,4.99,0,2375.82
ORD123311,CUST005419,2025-09-18,Mobile App,Completed,Credit Card,7.99,0,644.97
ORD123825,CUST000272,2020-11-01,In-Store,Completed,Gift Card,7.99,0,407.38
ORD124291,CUST000111,2025-04-05,Mobile App,Completed,Store Credit,0.0,0,1974.24
ORD117210,CUST002566,2024-02-04,Mobile App,Completed,Credit Card,0.0,0,566.96
ORD123995,CUST002261,2026-01-09,In-Store,Completed,Credit Card,0.0,0,458.47
ORD124923,CUST002083,2025-11-01,In-Store,Completed,Store Credit,5.99,0,2056.2
ORD115555,CUST004423,2023-03-30,Online,Completed,Credit Card,0.0,0,942.22
ORD103294,CUST001417,2024-05-26,Online,Completed,Paypal,7.99,0,1470.12
ORD111066,CUST002746,2024-08-07,In-Store,Completed,Store Credit,7.99,0,546.07
ORD119867,CUST000190,2022-12-28,In-Store,Completed,Gift Card,7.99,0,340.03
ORD119133,CUST001985,2025-09-10,In-Store,Completed,Gift Card,0.0,5,588.04
ORD108114,CUST002200,2023-08-15,Mobile App,Completed,Store Credit,0.0,0,396.82
ORD105769,CUST000849,2026-05-25,Online,Completed,Paypal,0.0,10,917.51
ORD107058,CUST003885,2024-12-19,In-Store,Returned,Debit Card,0.0,0,448.53
ORD123909,CUST001796,2025-05-10,Online,Completed,Credit Card,7.99,0,936.07
ORD110018,CUST001522,2024-09-13,Mobile App,Completed,Store Credit,7.99,0,1706.9
ORD100709,CUST000986,2026-06-13,In-Store,Completed,Gift Card,12.99,10,1840.23
ORD102681,CUST003784,2024-01-27,Mobile App,Completed,Paypal,4.99,5,1557.04
ORD120322,CUST005171,2024-03-14,In-Store,Completed,Debit Card,0.0,0,637.61
ORD125470,CUST002649,2023-01-27,In-Store,Completed,Credit Card,0.0,0,2159.76
ORD107065,CUST002456,2024-04-25,Online,Completed,Paypal,5.99,15,839.36
ORD100039,CUST001909,2024-05-27,In-Store,Completed,Paypal,5.99,0,1545.7
ORD100099,CUST001911,2025-09-29,Online,Completed,Credit Card,0.0,0,767.62
ORD100925,CUST004789,2026-05-06,In-Store,Completed,Gift Card,0.0,0,1404.89
ORD121288,CUST001186,2025-05-31,Mobile App,Completed,Debit Card,0.0,10,316.3
ORD112610,CUST003132,2025-11-14,Mobile App,Completed,Credit Card,12.99,0,3135.87
ORD121536,CUST003009,2024-10-27,Online,Completed,Gift Card,5.99,0,876.77
ORD118467,CUST004123,2025-07-13,Mobile App,Completed,Debit Card,12.99,0,2641.6
ORD117088,CUST004090,2023-11-28,Online,Returned,Debit Card,12.99,0,842.18
ORD126421,CUST002986,2025-12-17,Mobile App,Completed,Store Credit,0.0,0,1680.1
ORD117185,CUST002484,2026-05-24,Online,Completed,Store Credit,5.99,0,109.17
ORD116204,CUST000245,2026-02-04,Online,Completed,Credit Card,0.0,5,1631.71
ORD105162,CUST000465,2026-05-31,In-Store,Completed,Credit Card,4.99,0,3806.66
ORD114668,CUST000220,2025-07-19,In-Store,Completed,Gift Card,0.0,0,1239.08
ORD112166,CUST000371,2024-06-25,Online,Completed,Paypal,4.99,0,338.57
ORD123473,CUST000568,2024-05-31,Online,Completed,Credit Card,0.0,15,203.74
ORD109533,CUST006074,2024-08-28,Online,Completed,Credit Card,7.99,0,4220.81
ORD123878,CUST002469,2025-04-19,Online,Completed,Gift Card,7.99,0,269.79
ORD113993,CUST000584,2025-03-01,Mobile App,Completed,Gift Card,0.0,0,856.9
ORD117232,CUST002331,2024-04-17,Mobile App,Completed,Store Credit,4.99,20,2106.02
ORD101660,CUST002994,2025-12-13,Mobile App,Completed,Store Credit,12.99,0,1149.45
ORD123174,CUST005184,2025-08-16,Mobile App,Completed,Credit Card,4.99,0,307.13
ORD118665,CUST000874,2025-09-10,Mobile App,Completed,Gift Card,12.99,0,1659.46
ORD117714,CUST004962,2025-04-27,Online,Completed,Store Credit,7.99,0,21.95
ORD111752,CUST001249,2024-06-26,In-Store,Completed,Store Credit,5.99,0,806.11
ORD113429,CUST003698,2023-07-10,In-Store,Completed,Paypal,7.99,0,2741.5
ORD110311,CUST001870,2024-07-09,Online,Completed,Credit Card,0.0,0,3044.96
ORD124063,CUST003640,2021-10-17,In-Store,Completed,Paypal,0.0,0,1423.35
ORD109367,CUST002901,2024-09-02,Mobile App,Completed,Credit Card,0.0,0,354.65
ORD119529,CUST000212,2024-06-24,Online,Completed,Gift Card,5.99,0,119.81
ORD111728,CUST000412,2024-07-28,In-Store,Completed,Gift Card,0.0,0,2487.35
ORD122233,CUST001369,2026-02-21,Online,Completed,Store Credit,5.99,0,1874.6
ORD117937,CUST004892,2022-02-25,Online,Completed,Paypal,5.99,0,475.29
ORD120080,CUST003694,2026-04-18,In-Store,Returned,Paypal,0.0,0,295.6
ORD128039,CUST000225,2025-11-11,Mobile App,Completed,Gift Card,12.99,0,2135.63
ORD107010,CUST005893,2023-10-11,Online,Completed,Store Credit,12.99,0,3138.4
ORD102895,CUST003791,,In-Store,Completed,Gift Card,0.0,0,1836.57
ORD104441,CUST000231,2024-01-24,In-Store,Completed,Gift Card,4.99,0,623.87
ORD106734,CUST000025,2025-11-10,Mobile App,Completed,Gift Card,7.99,5,1653.3
ORD127491,CUST003001,2024-06-16,In-Store,Completed,Store Credit,0.0,0,899.03
ORD124125,CUST002978,2022-01-07,Mobile App,Completed,Paypal,5.99,0,3440.82
ORD113490,CUST005757,2025-06-02,Mobile App,Completed,Gift Card,7.99,0,1975.31
ORD103020,CUST002438,2023-09-12,Online,Completed,Store Credit,0.0,5,312.64
ORD118023,CUST001426,2026-04-06,In-Store,Completed,Gift Card,0.0,15,227.6
ORD124414,CUST004450,2023-03-28,Online,Completed,Debit Card,0.0,20,705.53
ORD106207,CUST005246,2024-06-08,Mobile App,Completed,Debit Card,4.99,15,398.58
ORD122276,CUST002676,2022-02-02,In-Store,Completed,Store Credit,5.99,0,255.36
ORD126663,CUST004336,2025-05-10,In-Store,Completed,Paypal,4.99,0,1089.81
ORD101377,CUST001219,2025-08-01,Online,Completed,Store Credit,0.0,0,3245.02
ORD107350,CUST004773,2024-06-21,Mobile App,Completed,Gift Card,0.0,10,323.95
ORD127338,CUST001202,2024-08-10,In-Store,Completed,Credit Card,0.0,0,3333.82
ORD113817,CUST003631,2025-08-24,Online,Completed,Store Credit,0.0,0,781.09
ORD127957,CUST004985,2023-04-25,Online,Completed,Debit Card,4.99,0,3074.17
ORD101420,CUST005852,2022-07-12,In-Store,Returned,Debit Card,0.0,0,4618.37
ORD116640,CUST000189,2025-06-02,Online,Completed,Paypal,7.99,5,3384.84
ORD114916,CUST002750,2024-10-13,Online,Completed,Store Credit,7.99,0,692.0
ORD127902,CUST004047,2022-04-06,Online,Completed,Store Credit,0.0,0,346.06
ORD114150,CUST004538,2026-03-17,Mobile App,Completed,Store Credit,4.99,0,458.63
ORD121085,CUST003943,2025-01-19,Mobile App,Completed,Store Credit,5.99,0,1754.51
ORD109159,CUST004736,2025-09-18,Online,Completed,Paypal,5.99,0,979.74
ORD115886,CUST005213,2025-03-25,Online,Completed,Paypal,12.99,10,826.46
ORD126069,CUST001157,2025-11-12,Online,Returned,Store Credit,0.0,10,506.1
ORD117046,CUST005820,2025-03-18,Online,Cancelled,Credit Card,0.0,5,522.39
ORD104167,CUST004959,2026-03-06,Online,Completed,Debit Card,7.99,0,541.87
ORD119545,CUST004328,2026-02-22,Mobile App,Completed,Debit Card,0.0,0,1662.92
ORD113914,CUST005002,2021-11-22,In-Store,Completed,Paypal,12.99,5,1208.39
ORD108917,CUST000547,2026-03-01,In-Store,Completed,Store Credit,5.99,0,2678.35
ORD107905,CUST005509,2024-05-31,Online,Completed,Debit Card,12.99,0,123.57
ORD101936,CUST000650,2024-08-25,Online,Completed,Store Credit,7.99,15,1014.33
ORD121358,CUST004519,2025-01-01,In-Store,Completed,Paypal,0.0,0,267.82
ORD107319,CUST001340,2026-05-29,Mobile App,Cancelled,Store Credit,5.99,0,1454.74
ORD121828,CUST001978,2024-07-13,Mobile App,Completed,Debit Card,0.0,0,670.77
ORD104346,CUST001352,2023-02-20,Mobile App,Completed,Debit Card,0.0,0,126.42
ORD125720,CUST002585,2022-08-16,In-Store,Completed,Store Credit,7.99,10,1412.13
ORD114092,CUST004103,2024-05-22,Mobile App,Completed,Gift Card,12.99,5,2028.68
ORD119176,CUST004995,2022-11-09,In-Store,Cancelled,Debit Card,0.0,0,987.3
ORD121341,CUST001432,2025-09-08,Online,Completed,Credit Card,4.99,25,2747.09
ORD108779,CUST004168,2022-07-21,In-Store,Completed,Debit Card,12.99,0,1452.72
ORD102495,CUST002232,2024-01-19,Mobile App,Completed,Gift Card,4.99,20,646.91
ORD110853,CUST005409,2026-02-11,Online,Returned,Debit Card,0.0,0,5645.91
ORD114539,CUST003406,2025-07-28,In-Store,Completed,Credit Card,12.99,5,1334.69
ORD122345,CUST006077,2023-11-09,Online,Completed,Paypal,0.0,0,1346.93
ORD100792,CUST004767,2026-04-11,Online,Completed,Credit Card,12.99,0,366.62
ORD125862,CUST001418,2025-05-31,Mobile App,Pending,Gift Card,0.0,0,1809.01
ORD124570,CUST001474,2023-09-12,In-Store,Completed,Gift Card,5.99,0,2407.53
ORD121919,CUST002108,2025-08-03,Online,Completed,Debit Card,0.0,0,258.14
ORD102510,CUST003656,2026-05-15,In-Store,Pending,Gift Card,7.99,0,972.92
ORD123943,CUST003955,2026-05-04,In-Store,Completed,Debit Card,7.99,0,3460.4
ORD107418,CUST000438,2025-05-04,Online,Completed,Paypal,0.0,0,1864.55
ORD108272,CUST002668,2026-03-01,Online,Pending,Debit Card,5.99,0,1861.53
ORD122321,CUST003649,2026-01-28,Mobile App,Completed,Debit Card,7.99,25,3480.79
ORD125533,CUST002182,2025-09-03,Mobile App,Completed,Gift Card,7.99,0,3855.24
ORD109612,CUST004389,2025-08-16,In-Store,Completed,Paypal,0.0,0,2112.71
ORD107487,CUST001893,2025-10-11,In-Store,Completed,Gift Card,4.99,0,1520.0
ORD107201,CUST001595,2024-11-29,In-Store,Completed,Store Credit,0.0,0,822.85
ORD127255,CUST003754,2022-02-23,In-Store,Completed,Paypal,5.99,0,1567.51
ORD101661,CUST002994,2025-10-13,Mobile App,Completed,Gift Card,0.0,0,1083.34
ORD109766,CUST004072,2023-04-06,In-Store,Completed,Credit Card,0.0,0,741.84
ORD109584,CUST000379,2024-09-18,In-Store,Completed,Paypal,7.99,0,499.57
ORD107959,CUST005476,2025-06-01,Online,Completed,Credit Card,0.0,0,1236.58
ORD122078,CUST004066,2025-10-03,In-Store,Completed,Credit Card,0.0,0,419.55
ORD109793,CUST004307,2024-01-08,In-Store,Completed,Store Credit,4.99,0,1126.19
ORD117552,CUST001269,2025-04-15,Online,Completed,Debit Card,4.99,0,591.13
ORD124614,CUST000128,2024-02-27,In-Store,Completed,Credit Card,5.99,0,1952.43
ORD124603,CUST004131,2025-12-10,Online,Completed,Debit Card,12.99,0,1248.84
ORD124089,CUST004876,2025-02-10,In-Store,Completed,Paypal,12.99,0,3340.05
ORD107501,CUST004109,2023-07-14,Online,Completed,Gift Card,4.99,5,1221.46
ORD127063,CUST002052,2022-08-24,Online,Completed,Store Credit,5.99,0,1805.4
ORD118094,CUST002538,2026-02-02,Online,Completed,Credit Card,4.99,20,720.28
ORD109912,CUST000019,2026-05-10,In-Store,Completed,Debit Card,4.99,15,679.69
ORD122018,CUST004824,2025-12-26,Online,Completed,Credit Card,0.0,0,3224.96
ORD104396,CUST001708,2025-05-31,In-Store,Completed,Gift Card,0.0,0,2641.2
ORD110582,CUST000620,2023-11-17,Mobile App,Completed,Credit Card,7.99,0,299.7
ORD108954,CUST003195,2026-04-17,Online,Completed,Credit Card,5.99,0,1189.73
ORD126533,CUST000506,2025-04-27,In-Store,Completed,Store Credit,5.99,10,518.93
ORD105279,CUST004125,2021-11-30,In-Store,Completed,Debit Card,0.0,0,2596.29
ORD112555,CUST002499,2025-06-30,In-Store,Completed,Paypal,4.99,15,342.56
ORD111271,CUST005473,2025-07-11,Mobile App,Completed,Paypal,7.99,10,823.07
ORD124919,CUST001995,2025-03-01,Mobile App,Completed,Debit Card,5.99,0,1045.06
ORD126489,CUST005983,2025-12-13,Mobile App,Returned,Debit Card,0.0,0,2512.83
ORD105991,CUST000196,2025-07-01,In-Store,Completed,Credit Card,4.99,0,942.59
ORD116989,CUST002937,2025-08-26,In-Store,Completed,Debit Card,4.99,0,565.69
ORD107503,CUST001706,2025-05-23,In-Store,Completed,Paypal,12.99,0,2528.51
ORD113365,CUST002197,2023-03-07,Online,Completed,Store Credit,5.99,5,2518.17
ORD118368,CUST000219,2026-01-18,Online,Completed,Debit Card,4.99,0,1727.59
ORD105928,CUST000820,2025-04-19,In-Store,Completed,Store Credit,7.99,10,1875.09
ORD117444,CUST000027,2024-03-26,Mobile App,Completed,Credit Card,4.99,0,642.58
ORD128212,CUST002299,2024-10-14,Mobile App,Completed,Store Credit,0.0,0,493.26
ORD114502,CUST002203,2024-08-17,Online,Completed,Gift Card,4.99,0,474.07
ORD107474,CUST000267,2022-05-02,Online,Completed,Gift Card,0.0,0,1995.2
