order_item_id,order_id,product_id,quantity,unit_price_at_purchase
OI531760,ORD113444,PROD1074,1,41.23
OI546509,ORD104284,PROD1070,2,623.67
OI549639,ORD115672,PROD1016,1,79.16
OI538747,ORD105332,PROD1144,1,250.35
OI557212,ORD113581,PROD1154,2,518.22
OI517582,ORD107405,PROD1179,1,812.91
OI570772,ORD126666,PROD1085,2,354.29
OI568945,ORD110787,PROD1184,1,112.32
OI569419,ORD102651,PROD1005,1,
OI553310,ORD107127,PROD1214,1,208.1
OI562552,ORD105132,PROD1112,2,174.83
OI562055,ORD123919,PROD1110,4,550.49
OI548876,ORD114363,PROD1157,3,758.76
OI560499,ORD120227,PROD1043,1,634.74
OI526444,ORD125542,PROD1070,2,622.37
OI509531,ORD122392,PROD1083,2,205.96
OI545825,ORD109017,PROD1011,4,210.39
OI527717,ORD115426,PROD1044,1,713.08
OI552677,ORD123267,PROD1123,2,468.54
OI541637,ORD125219,PROD1020,1,105.19
OI553834,ORD118538,PROD1028,1,62.05
OI501077,ORD116327,PROD1138,2,705.74
OI560535,ORD122221,PROD1134,1,252.02
OI531230,ORD123794,PROD1117,1,185.28
OI513904,ORD128164,PROD1080,2,321.39
OI554111,ORD126307,PROD1107,1,457.23
OI538206,ORD126215,PROD1012,1,450.87
OI566150,ORD101713,PROD1108,3,314.93
OI553524,ORD111985,PROD1184,1,113.99
OI559729,ORD123049,PROD1159,2,109.22
OI530536,ORD106761,PROD1178,1,30.37
OI519771,ORD111578,PROD1102,1,316.33
OI562882,ORD108594,PROD1065,1,276.34
OI510513,ORD102472,PROD1123,1,474.74
OI545575,ORD103855,PROD1211,1,78.06
OI501137,ORD112392,PROD1034,2,88.69
OI522616,ORD109058,PROD1199,1,708.76
OI531171,ORD114901,PROD1117,2,193.24
OI554308,ORD121863,PROD1057,4,651.99
OI509688,ORD108893,PROD1127,2,150.38
OI515507,ORD118886,PROD1064,2,13.37
OI515051,ORD114204,PROD1192,1,734.62
OI522003,ORD118862,PROD1060,1,819.89
OI524465,ORD121555,PROD1068,1,478.98
OI530436,ORD114466,PROD1107,1,466.33
OI532331,ORD105472,PROD1091,1,920.28
OI531728,ORD127958,PROD1151,2,
OI531836,ORD106276,PROD1179,1,776.96
OI569777,ORD124938,PROD1149,1,342.43
OI524939,ORD101236,PROD1044,1,703.25
OI502681,ORD112115,PROD1113,1,733.24
OI530049,ORD122099,PROD1192,1,717.81
OI522550,ORD100460,PROD1026,1,974.77
OI568987,ORD127882,PROD1102,4,319.58
OI562419,ORD115576,PROD1212,1,54.25
OI536631,ORD125555,PROD1067,1,671.5
OI505324,ORD112620,PROD1032,2,243.15
OI563719,ORD118075,PROD1162,3,905.94
OI517870,ORD120797,PROD1110,2,552.8
OI545697,ORD124255,PROD1165,1,348.45
OI546558,ORD111118,PROD1205,1,352.36
OI536804,ORD105213,PROD1056,1,924.65
OI541197,ORD122798,PROD1134,3,248.85
OI504583,ORD103514,PROD1207,2,495.89
OI514475,ORD124238,PROD1158,2,249.62
OI530804,ORD124832,PROD1207,3,494.93
OI539875,ORD107939,PROD1154,3,543.62
OI500512,ORD117185,PROD1020,1,103.18
OI530799,ORD118143,PROD1196,1,368.18
OI534884,ORD106391,PROD1147,4,110.56
OI503899,ORD108559,PROD1216,4,343.14
OI527245,ORD105597,PROD1111,2,73.83
OI506224,ORD124654,PROD1173,1,336.77
OI518995,ORD101913,PROD1033,1,145.67
OI563962,ORD120309,PROD1150,1,49.04
OI537004,ORD127887,PROD1111,1,76.02
OI570891,ORD100724,PROD1207,2,498.22
OI538084,ORD120957,PROD1027,3,642.89
OI552970,ORD126490,PROD1215,1,143.06
OI572852,ORD117435,PROD1179,4,792.3
OI559450,ORD120903,PROD1195,1,747.75
OI544338,ORD124270,PROD1013,1,167.59
OI541922,ORD123550,PROD1103,1,99.95
OI526846,ORD109863,PROD1183,1,992.85
OI560869,ORD120253,PROD1182,1,673.17
OI523158,ORD104006,PROD1184,1,110.91
OI529604,ORD112944,PROD1069,2,400.74
OI535037,ORD125959,PROD1038,1,431.64
OI500835,ORD119604,PROD1197,1,357.79
OI562876,ORD106330,PROD1097,1,249.32
OI512263,ORD122496,PROD1146,1,593.22
OI543159,ORD117154,PROD1073,1,494.2
OI520215,ORD121695,PROD1210,2,769.58
OI543871,ORD103662,PROD1135,1,780.82
OI533567,ORD114943,PROD1017,1,963.05
OI511482,ORD111979,PROD1075,1,582.47
OI569211,ORD104173,PROD1188,3,444.16
OI565017,ORD123172,PROD1084,1,43.4
OI533537,ORD109008,PROD1005,1,32.49
OI518079,ORD102772,PROD1143,1,391.32
OI547468,ORD114873,PROD1117,2,187.36
OI543715,ORD112262,PROD1149,3,348.44
OI514856,ORD122262,PROD1115,1,643.56
OI536302,ORD121742,PROD1097,1,247.93
OI532804,ORD107154,PROD1149,3,352.67
OI549869,ORD108482,PROD1186,1,93.15
OI509892,ORD109344,PROD1031,3,597.87
OI570974,ORD118926,PROD1027,1,639.35
OI531979,ORD100193,PROD1092,1,240.51
OI526031,ORD123411,PROD1087,3,400.9
OI536130,ORD107538,PROD1163,1,482.0
OI544989,ORD124532,PROD1215,2,
OI519950,ORD113760,PROD1061,4,
OI567453,ORD116503,PROD1109,1,660.67
OI515221,ORD109685,PROD1022,1,242.25
OI573324,ORD125164,PROD1166,1,13.85
OI568516,ORD104898,PROD1187,1,56.33
OI522472,ORD118668,PROD1085,2,355.35
OI519897,ORD103453,PROD1031,1,592.75
OI555320,ORD104935,PROD1211,1,78.35
OI565250,ORD105139,PROD1147,3,110.27
OI502013,ORD112786,PROD1052,1,579.75
OI548702,ORD123180,PROD1138,1,698.83
OI549442,ORD126638,PROD1080,2,336.4
OI553316,ORD110437,PROD1078,2,644.56
OI501955,ORD115700,PROD1083,3,203.15
OI504518,ORD123492,PROD1105,1,496.53
OI522009,ORD119713,PROD1207,2,501.34
OI516841,ORD128038,PROD1110,3,545.97
OI535110,ORD102726,PROD1018,4,179.52
OI517092,ORD106111,PROD1132,1,842.21
OI502121,ORD126350,PROD1162,4,895.29
OI532254,ORD125574,PROD1160,1,517.65
OI505262,ORD108672,PROD1045,1,117.95
OI562969,ORD116423,PROD1072,1,156.35
OI570604,ORD113744,PROD1137,1,407.32
OI551434,ORD111467,PROD1001,4,639.62
OI541446,ORD118998,PROD1219,1,399.64
OI541395,ORD101982,PROD1172,2,353.01
OI522659,ORD114242,PROD1151,1,491.91
OI573256,ORD112146,PROD1150,2,49.56
OI552296,ORD117278,PROD1056,1,933.63
OI557876,ORD118188,PROD1112,3,173.26
OI525577,ORD115829,PROD1192,4,724.33
OI562258,ORD112049,PROD1021,1,45.29
OI554887,ORD106324,PROD1063,3,841.37
OI506595,ORD110719,PROD1155,2,243.52
OI533649,ORD112292,PROD1152,1,769.3
OI550283,ORD117231,PROD1201,2,505.48
OI550595,ORD105085,PROD1146,2,588.12
OI544755,ORD104278,PROD1133,1,652.31
OI539096,ORD123388,PROD1186,1,96.09
OI524816,ORD122617,PROD1112,2,176.46
OI566516,ORD100795,PROD1111,2,75.67
OI534057,ORD122800,PROD1073,1,489.92
OI505012,ORD110960,PROD1135,1,780.99
OI556402,ORD107835,PROD1127,1,146.93
OI506065,ORD107107,PROD1140,1,617.63
OI566812,ORD114814,PROD1158,3,255.53
OI508318,ORD127721,PROD1171,1,138.87
OI548056,ORD106137,PROD1118,2,152.64
OI540198,ORD113764,PROD1116,1,470.91
OI512540,ORD119880,PROD1127,1,147.18
OI514901,ORD110683,PROD1084,3,42.67
OI556382,ORD115789,PROD1180,1,354.35
OI505570,ORD115005,PROD1202,1,340.74
OI522589,ORD120574,PROD1176,1,391.4
OI510623,ORD118400,PROD1185,4,57.02
OI518797,ORD121097,PROD1032,1,232.22
OI567563,ORD124907,PROD1124,1,992.86
OI539828,ORD117277,PROD1117,1,185.26
OI573191,ORD121092,PROD1085,1,343.1
OI508332,ORD126160,PROD1072,3,158.14
OI544274,ORD122044,PROD1188,1,429.87
OI546619,ORD121888,PROD1185,1,57.78
OI531647,ORD127713,PROD1101,1,175.68
OI514201,ORD113549,PROD1144,1,246.46
OI550503,ORD115782,PROD1197,1,356.95
OI523211,ORD117448,PROD1064,1,13.51
OI508301,ORD107598,PROD1165,3,338.05
OI555774,ORD124785,PROD1034,2,91.15
OI568916,ORD121365,PROD1163,1,493.98
OI547876,ORD100627,PROD1014,2,326.08
OI540489,ORD123892,PROD1042,1,216.24
OI544725,ORD126515,PROD1186,1,94.28
OI536585,ORD104480,PROD1162,1,892.44
OI531883,ORD115007,PROD1049,1,20.35
OI566742,ORD121822,PROD1168,4,783.24
OI518051,ORD107066,PROD1202,1,343.93
OI520324,ORD120697,PROD1188,1,431.71
OI526752,ORD120215,PROD1073,1,503.98
OI524357,ORD108109,PROD1176,3,399.31
OI563654,ORD125503,PROD1110,1,556.99
OI561130,ORD115922,PROD1001,2,641.0
OI528151,ORD120652,PROD1145,2,21.63
OI510685,ORD112394,PROD1011,2,211.28
OI544330,ORD127744,PROD1137,2,416.66
OI525035,ORD123984,PROD1128,1,864.2
OI545352,ORD100705,PROD1006,1,527.39
OI521103,ORD113822,PROD1207,1,478.57
OI561133,ORD108723,PROD1063,1,840.96
OI535731,ORD120073,PROD1035,3,479.49
OI528560,ORD109265,PROD1203,1,
OI517893,ORD127714,PROD1081,1,532.82
OI520078,ORD120500,PROD1037,3,664.77
OI500348,ORD105680,PROD1203,2,199.77
OI505141,ORD127587,PROD1131,4,123.26
OI508437,ORD118446,PROD1173,1,343.31
OI514793,ORD127135,PROD1094,1,347.13
OI523692,ORD112753,PROD1098,1,743.79
OI568384,ORD103061,PROD1216,2,347.27
OI557035,ORD108635,PROD1075,1,600.26
OI512047,ORD112743,PROD1125,1,224.71
OI529942,ORD118114,PROD1035,3,486.08
OI560221,ORD127931,PROD1081,1,522.32
OI518942,ORD108619,PROD1046,1,623.79
OI562933,ORD103150,PROD1195,1,756.18
OI563152,ORD107914,PROD1012,2,446.88
OI544103,ORD105412,PROD1011,4,211.34
OI555929,ORD102770,PROD1010,1,356.72
OI521609,ORD101617,PROD1197,1,365.8
OI529774,ORD107332,PROD1062,3,177.69
OI549225,ORD118944,PROD1003,1,69.95
OI571653,ORD105337,PROD1202,1,345.48
OI547022,ORD100806,PROD1011,1,218.04
OI509379,ORD106368,PROD1208,1,215.1
OI534187,ORD126656,PROD1138,4,697.86
OI522037,ORD108204,PROD1129,1,317.7
OI548153,ORD102539,PROD1167,1,29.63
OI537148,ORD113152,PROD1055,2,178.02
OI542548,ORD108176,PROD1003,1,67.6
OI563664,ORD113316,PROD1154,2,519.04
OI551422,ORD105272,PROD1186,1,94.45
OI538951,ORD100902,PROD1173,2,347.19
OI539918,ORD100494,PROD1090,2,202.85
OI507297,ORD106990,PROD1180,1,348.92
OI501666,ORD111435,PROD1170,1,398.99
OI515472,ORD122263,PROD1213,1,455.47
OI534803,ORD122959,PROD1012,2,440.93
OI521691,ORD108874,PROD1210,4,781.59
OI535659,ORD108487,PROD1026,1,949.7
OI542059,ORD122353,PROD1100,1,352.64
OI554500,ORD125462,PROD1159,4,107.77
OI552702,ORD102267,PROD1209,2,631.54
OI529068,ORD111309,PROD1204,1,513.15
OI569718,ORD120540,PROD1198,1,643.18
OI553941,ORD114306,PROD1149,1,354.06
OI500558,ORD122233,PROD1020,1,102.79
OI543949,ORD126164,PROD1133,4,656.54
OI518022,ORD116645,PROD1050,2,36.07
OI555110,ORD117505,PROD1125,1,216.7
OI555058,ORD101383,PROD1164,3,276.98
OI507267,ORD121261,PROD1162,4,889.89
OI527136,ORD101201,PROD1078,1,632.42
OI561868,ORD125537,PROD1089,1,541.59
OI570464,ORD110337,PROD1002,2,99.9
OI535272,ORD110965,PROD1140,1,633.94
OI556426,ORD124422,PROD1008,1,253.36
OI564290,ORD105622,PROD1045,1,118.91
OI550976,ORD126536,PROD1048,1,407.01
OI571557,ORD116861,PROD1095,1,105.84
OI516505,ORD118153,PROD1086,1,334.36
OI559920,ORD101498,PROD1097,1,248.18
OI502124,ORD122907,PROD1147,3,112.67
OI546865,ORD109264,PROD1011,1,219.63
OI534992,ORD108123,PROD1126,1,587.64
OI557388,ORD127929,PROD1016,1,77.06
OI572156,ORD114480,PROD1162,1,884.21
OI546542,ORD108208,PROD1098,1,740.92
OI520328,ORD108443,PROD1109,3,645.46
OI538135,ORD106689,PROD1051,3,260.57
OI560035,ORD115658,PROD1205,1,352.06
OI515997,ORD112748,PROD1099,1,841.2
OI500049,ORD102158,PROD1155,3,243.38
OI569351,ORD116180,PROD1006,1,524.48
OI501662,ORD126716,PROD1016,1,80.03
OI523019,ORD109720,PROD1181,1,385.49
OI554568,ORD116358,PROD1149,1,341.17
OI559542,ORD122037,PROD1022,1,240.14
OI543368,ORD124653,PROD1164,1,270.23
OI558757,ORD109327,PROD1209,2,633.39
OI524640,ORD100931,PROD1211,1,81.15
OI523973,ORD119739,PROD1024,1,341.0
OI537054,ORD102526,PROD1187,2,56.69
OI534512,ORD113135,PROD1120,1,1003.04
OI510632,ORD121858,PROD1153,2,355.43
OI522981,ORD110670,PROD1098,1,764.79
OI504431,ORD121055,PROD1196,1,371.09
OI552856,ORD114874,PROD1206,1,806.57
OI504529,ORD105792,PROD1070,4,
OI538781,ORD126917,PROD1037,1,661.57
OI510722,ORD106756,PROD1063,1,841.4
OI511104,ORD118982,PROD1144,1,251.24
OI503293,ORD115832,PROD1077,1,624.24
OI562647,ORD114374,PROD1212,1,56.37
OI519254,ORD104389,PROD1074,2,40.74
OI548245,ORD115029,PROD1059,4,727.83
OI505430,ORD107125,PROD1042,1,217.53
OI520190,ORD111565,PROD1117,2,191.31
OI517543,ORD105857,PROD1134,1,246.23
OI555022,ORD101943,PROD1065,1,272.4
OI531123,ORD126516,PROD1043,2,633.39
OI561630,ORD117901,PROD1001,1,627.3
OI539722,ORD125680,PROD1077,1,624.27
OI525252,ORD127084,PROD1124,1,975.32
OI522146,ORD117098,PROD1004,1,563.24
OI516449,ORD127896,PROD1133,1,652.59
OI557652,ORD122249,PROD1163,1,473.08
OI524578,ORD109841,PROD1028,1,61.3
OI565690,ORD119109,PROD1170,1,383.69
OI533370,ORD115258,PROD1019,2,516.99
OI536273,ORD114384,PROD1172,3,346.7
OI566813,ORD114814,PROD1053,2,389.56
OI529533,ORD126807,PROD1044,3,694.4
OI548200,ORD119287,PROD1157,2,746.17
OI559752,ORD119866,PROD1193,2,177.71
OI527518,ORD119970,PROD1010,2,368.42
OI526768,ORD113639,PROD1066,1,92.41
OI538710,ORD101555,PROD1035,1,491.22
OI568860,ORD113673,PROD1131,1,120.65
OI523558,ORD123676,PROD1104,1,8.79
OI540938,ORD128076,PROD1024,2,341.93
OI503242,ORD116758,PROD1117,1,185.03
OI523135,ORD111739,PROD1151,1,489.83
OI514807,ORD119202,PROD1105,1,513.22
OI571598,ORD114045,PROD1179,1,
OI555288,ORD108537,PROD1088,1,505.55
OI507548,ORD114542,PROD1209,1,651.94
OI553285,ORD121676,PROD1107,4,455.77
OI562642,ORD101470,PROD1167,1,30.03
OI517265,ORD123934,PROD1086,2,324.65
OI509639,ORD115692,PROD1123,1,476.73
OI562597,ORD102289,PROD1214,1,201.2
OI556014,ORD125749,PROD1091,2,945.67
OI547879,ORD107100,PROD1112,1,174.98
OI500218,ORD106480,PROD1196,1,367.66
OI520183,ORD127551,PROD1185,2,55.51
OI568918,ORD121365,PROD1086,1,325.29
OI515503,ORD104039,PROD1076,1,121.14
OI555356,ORD117205,PROD1106,1,407.85
OI529213,ORD124592,PROD1200,2,115.79
OI533262,ORD116183,PROD1207,1,497.85
OI536737,ORD121350,PROD1109,1,638.81
OI533081,ORD107222,PROD1030,1,259.45
OI562226,ORD116804,PROD1023,1,264.83
OI524365,ORD114705,PROD1165,2,343.35
OI530794,ORD103181,PROD1057,1,647.05
OI555219,ORD126415,PROD1058,1,492.72
OI555777,ORD125798,PROD1154,1,526.89
OI517676,ORD110251,PROD1005,3,32.76
OI572378,ORD116168,PROD1107,3,450.09
OI530896,ORD112433,PROD1146,1,601.84
OI556455,ORD124847,PROD1109,1,644.27
OI523007,ORD111279,PROD1036,2,15.19
OI551018,ORD118631,PROD1029,1,37.55
OI550815,ORD120247,PROD1087,2,398.63
OI524012,ORD105146,PROD1073,1,494.53
OI536740,ORD113143,PROD1110,1,560.73
OI510519,ORD127898,PROD1181,1,387.31
OI550305,ORD110170,PROD1037,1,661.36
OI554679,ORD116185,PROD1208,3,205.37
OI518917,ORD109354,PROD1017,1,923.15
OI522166,ORD109755,PROD1070,1,642.02
OI559304,ORD120786,PROD1148,1,486.21
OI556273,ORD118529,PROD1147,3,109.55
OI565430,ORD102554,PROD1150,1,50.38
OI549485,ORD108004,PROD1101,1,172.65
OI563041,ORD102059,PROD1169,1,274.98
OI519164,ORD111732,PROD1171,2,135.76
OI531096,ORD119779,PROD1046,1,622.09
OI559956,ORD115120,PROD1028,1,59.46
OI543142,ORD119536,PROD1041,2,184.3
OI564926,ORD128269,PROD1191,1,632.77
OI527598,ORD102884,PROD1104,2,9.01
OI532558,ORD102052,PROD1152,2,797.97
OI566639,ORD125841,PROD1180,1,354.42
OI564876,ORD109986,PROD1197,1,358.31
OI549683,ORD114127,PROD1215,1,147.21
OI536098,ORD100473,PROD1085,1,343.26
OI557889,ORD114054,PROD1155,1,
OI526747,ORD126152,PROD1105,1,511.47
OI559170,ORD127832,PROD1019,1,515.57
OI553345,ORD113242,PROD1167,1,28.95
OI570450,ORD115302,PROD1125,3,215.83
OI540064,ORD114042,PROD1035,2,470.44
OI500059,ORD118180,PROD1015,1,378.07
OI573136,ORD125443,PROD1101,1,177.01
OI560979,ORD120654,PROD1154,1,
OI548639,ORD103604,PROD1141,1,217.77
OI541658,ORD108821,PROD1188,2,447.82
OI569521,ORD106664,PROD1206,1,812.28
OI525269,ORD114968,PROD1187,1,56.18
OI554189,ORD100498,PROD1031,1,584.14
OI510577,ORD103688,PROD1057,1,641.08
OI508445,ORD113124,PROD1047,1,601.6
OI523968,ORD106970,PROD1054,1,129.82
OI532813,ORD123272,PROD1020,1,105.67
OI565362,ORD116301,PROD1218,4,81.16
OI514403,ORD107153,PROD1120,3,998.97
OI527484,ORD123296,PROD1144,2,256.44
OI520801,ORD107660,PROD1198,1,664.82
OI550440,ORD128023,PROD1122,1,27.12
OI526658,ORD103013,PROD1069,1,402.12
OI562575,ORD105277,PROD1216,1,351.46
OI541240,ORD108379,PROD1130,2,683.58
OI548851,ORD123137,PROD1112,2,179.85
OI541384,ORD103010,PROD1074,1,41.74
OI510773,ORD109452,PROD1217,2,87.3
OI536830,ORD122151,PROD1200,1,118.77
OI535620,ORD124982,PROD1081,1,519.78
OI564432,ORD114271,PROD1088,1,498.88
OI563156,ORD108458,PROD1073,2,502.6
OI537318,ORD127345,PROD1026,2,946.56
OI570005,ORD100636,PROD1190,3,117.66
OI569263,ORD101196,PROD1051,1,264.26
OI507564,ORD105124,PROD1165,1,347.65
OI528123,ORD101748,PROD1167,1,28.8
OI569702,ORD101135,PROD1084,2,43.93
OI502891,ORD122581,PROD1130,2,656.47
OI501062,ORD115395,PROD1179,1,797.82
OI510631,ORD121858,PROD1157,2,760.55
OI522281,ORD118492,PROD1144,1,256.78
OI561350,ORD121484,PROD1073,1,481.94
OI541244,ORD121552,PROD1218,3,80.79
OI516480,ORD122799,PROD1057,2,641.5
OI500596,ORD122276,PROD1171,1,139.41
OI517202,ORD125848,PROD1028,1,60.5
OI540728,ORD115296,PROD1140,1,616.27
OI532201,ORD118695,PROD1133,4,638.42
OI532673,ORD115432,PROD1177,1,69.97
OI536951,ORD121226,PROD1191,1,635.07
OI560805,ORD127326,PROD1077,2,646.19
OI550821,ORD108092,PROD1109,1,671.72
OI512743,ORD123348,PROD1085,2,350.91
OI570563,ORD102409,PROD1148,2,477.49
OI543003,ORD117460,PROD1199,1,714.12
OI500057,ORD104275,PROD1218,1,80.23
OI554997,ORD115425,PROD1153,1,364.88
OI503153,ORD118961,PROD1071,2,335.58
OI557826,ORD125187,PROD1107,1,461.65
OI552596,ORD116292,PROD1111,1,73.32
OI527262,ORD128172,PROD1015,1,368.1
OI517418,ORD103182,PROD1034,1,90.63
OI532821,ORD103875,PROD1104,1,9.18
OI526503,ORD109110,PROD1141,2,219.05
OI540133,ORD103565,PROD1217,1,84.32
OI553029,ORD122259,PROD1155,1,246.87
OI519422,ORD127780,PROD1183,1,978.03
OI515145,ORD120558,PROD1077,1,
OI549567,ORD104368,PROD1140,2,625.18
OI566387,ORD106018,PROD1209,3,627.06
OI567015,ORD127927,PROD1210,1,749.51
OI554790,ORD124326,PROD1065,2,266.86
OI534795,ORD112154,PROD1049,1,19.81
OI520256,ORD111975,PROD1073,1,499.98
OI503680,ORD121153,PROD1217,1,84.11
OI526079,ORD102915,PROD1129,2,331.5
OI508935,ORD102593,PROD1170,1,384.78
OI506654,ORD113254,PROD1059,1,721.4
OI543247,ORD123966,PROD1006,1,533.72
OI549483,ORD113033,PROD1053,1,390.07
OI539332,ORD118929,PROD1104,1,9.02
OI509832,ORD117071,PROD1119,1,403.24
OI566271,ORD118331,PROD1206,1,786.05
OI542338,ORD117271,PROD1179,2,789.82
OI567421,ORD115162,PROD1080,2,336.12
OI550487,ORD102376,PROD1006,1,513.63
OI542467,ORD115999,PROD1183,1,1018.84
OI503432,ORD107146,PROD1051,2,256.66
OI545976,ORD123652,PROD1038,1,436.35
OI569612,ORD124259,PROD1148,2,485.51
OI535699,ORD110727,PROD1189,4,538.69
OI562103,ORD120105,PROD1024,2,341.83
OI522861,ORD122398,PROD1125,1,
OI517717,ORD111760,PROD1111,1,73.22
OI568138,ORD110596,PROD1193,1,180.2
OI561072,ORD120931,PROD1207,1,482.16
OI540850,ORD113585,PROD1089,1,560.36
OI563824,ORD108711,PROD1008,1,248.59
OI570173,ORD113860,PROD1102,1,315.44
OI539380,ORD110233,PROD1062,1,174.91
OI536338,ORD122063,PROD1219,1,401.91
OI503300,ORD115104,PROD1063,1,843.23
OI508205,ORD124533,PROD1066,3,92.85
OI521580,ORD102201,PROD1131,1,117.83
OI555113,ORD121481,PROD1113,1,723.2
OI504968,ORD117602,PROD1105,1,491.93
OI521428,ORD125911,PROD1051,1,258.37
OI538570,ORD109799,PROD1144,4,
OI564263,ORD126078,PROD1160,1,507.85
OI563349,ORD109229,PROD1147,1,109.22
OI535501,ORD119141,PROD1001,1,619.14
OI562244,ORD124535,PROD1135,1,787.39
OI522561,ORD118968,PROD1139,1,697.73
OI541025,ORD115578,PROD1028,1,59.53
OI555752,ORD106364,PROD1196,1,366.09
OI512440,ORD101550,PROD1153,1,363.4
OI510407,ORD108124,PROD1027,1,623.16
OI568264,ORD116580,PROD1174,4,336.92
OI517901,ORD126729,PROD1219,1,385.07
OI553348,ORD111960,PROD1076,4,119.73
OI502738,ORD127032,PROD1176,2,395.07
OI535169,ORD120403,PROD1020,1,105.24
OI506141,ORD118413,PROD1130,1,661.06
OI573345,ORD114441,PROD1145,1,21.29
OI546702,ORD116944,PROD1035,4,475.39
OI564149,ORD122927,PROD1169,1,272.72
OI551431,ORD117718,PROD1048,2,406.81
OI510328,ORD113713,PROD1153,2,360.9
OI533558,ORD113810,PROD1193,1,173.73
OI512157,ORD115331,PROD1048,2,392.62
